, allowedP, trueP, n, [sentinel], time
21,4,4,4096,41.5433,0.885154
21,4,4,4870,100.905,1.20792
22,4,4,16,5.08428,6.07E-05
22,4,4,19,4.44305,5.26E-05
22,4,4,22,3.74936,6.71E-05
22,4,4,26,6.00059,0.00244832
22,4,4,32,5.12512,0.000286956
22,4,4,38,12.0709,0.000316464
22,4,4,45,6.4673,0.00133642
22,4,4,53,10.349,0.000631217
22,4,4,64,8.48267,0.000600854
22,4,4,76,0.770689,0.000780896
22,4,4,90,8.68704,0.00243763
22,4,4,107,6.6972,0.00133343
22,4,4,128,6.99139,0.00146643
22,4,4,152,15.2411,0.00188852
22,4,4,181,4.25256,0.00273057
22,4,4,215,6.5401,0.00401567
22,4,4,256,7.77228,0.00524389
22,4,4,304,7.41879,0.00706655
22,4,4,362,17.4657,0.00851374
22,4,4,430,18.7009,0.0132333
22,4,4,512,6.38456,0.0163509
22,4,4,608,21.7851,0.0226584
22,4,4,724,8.56682,0.0305563
22,4,4,861,10.009,0.0425302
22,4,4,1024,15.0743,0.058152
22,4,4,1217,30.1267,0.0793418
22,4,4,1448,32.4621,0.114143
22,4,4,1722,26.774,0.167033
22,4,4,2048,50.2559,0.221588
22,4,4,2435,37.1636,0.357723
22,4,4,2896,19.2577,0.481277
22,4,4,3444,28.0925,0.630225
22,4,4,4096,41.5433,0.874444
22,4,4,4870,100.905,1.19781
23,4,4,16,5.08428,6.12E-05
23,4,4,19,4.44305,5.05E-05
23,4,4,22,3.74936,6.54E-05
23,4,4,26,6.00059,0.00150705
23,4,4,32,5.12512,0.000150107
23,4,4,38,12.0709,0.000280541
23,4,4,45,6.4673,0.000332715
23,4,4,53,10.349,0.00038831
23,4,4,64,8.48267,0.000522166
23,4,4,76,0.770689,0.000687668
23,4,4,90,8.68704,0.000852742
23,4,4,107,6.6972,0.00112687
23,4,4,128,6.99139,0.00143179
23,4,4,152,15.2411,0.00190734
23,4,4,181,4.25256,0.00248552
23,4,4,215,6.5401,0.00357647
23,4,4,256,7.77228,0.00463149
23,4,4,304,7.41879,0.00621937
23,4,4,362,17.4657,0.00837731
23,4,4,430,18.7009,0.0125256
23,4,4,512,6.38456,0.0171096
23,4,4,608,21.7851,0.0223813
23,4,4,724,8.56682,0.0294743
23,4,4,861,10.009,0.0437417
23,4,4,1024,15.0743,0.0595598
23,4,4,1217,30.1267,0.0809883
23,4,4,1448,32.4621,0.110697
23,4,4,1722,26.774,0.16215
23,4,4,2048,50.2559,0.257156
23,4,4,2435,37.1636,0.359583
23,4,4,2896,19.2577,0.438706
23,4,4,3444,28.0925,0.629426
23,4,4,4096,41.5433,0.86723
23,4,4,4870,100.905,1.19539
24,4,4,16,5.08428,5.00E-05
24,4,4,19,4.44305,5.26E-05
24,4,4,22,3.74936,6.80E-05
24,4,4,26,6.00059,0.00162166
24,4,4,32,5.12512,0.000200997
24,4,4,38,12.0709,0.000268567
24,4,4,45,6.4673,0.000328866
24,4,4,53,10.349,0.000392586
24,4,4,64,8.48267,0.000532429
24,4,4,76,0.770689,0.000666713
24,4,4,90,8.68704,0.000868993
24,4,4,107,6.6972,0.00108196
24,4,4,128,6.99139,0.00145017
24,4,4,152,15.2411,0.00188168
24,4,4,181,4.25256,0.00259714
24,4,4,215,6.5401,0.00353841
24,4,4,256,7.77228,0.00540768
24,4,4,304,7.41879,0.00711573
24,4,4,362,17.4657,0.00841922
24,4,4,430,18.7009,0.0129571
24,4,4,512,6.38456,0.0170506
24,4,4,608,21.7851,0.0219185
24,4,4,724,8.56682,0.0306042
24,4,4,861,10.009,0.0439158
24,4,4,1024,15.0743,0.0574421
24,4,4,1217,30.1267,0.0796493
24,4,4,1448,32.4621,0.108397
